,证券代码,证券简称,信用评级,评级类型,评估机构,债项评级时间,投资等级,等级含义
41,041154007.IB,11船重CP002,A-1,短期信用评级,大公国际资信评估有限公司,20120411,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
42,041154018.IB,11甘公投CP001,A-1,短期信用评级,大公国际资信评估有限公司,20111108,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
43,041154018.IB,11甘公投CP001,A-1,短期信用评级,大公国际资信评估有限公司,20120615,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
44,041154019.IB,11统众CP001,A-1,短期信用评级,大公国际资信评估有限公司,20111118,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
45,041155002.IB,11天业CP001,A-1,短期信用评级,大公国际资信评估有限公司,20110909,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
46,041155002.IB,11天业CP001,A-1,短期信用评级,大公国际资信评估有限公司,20120626,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
47,041156001.IB,11大唐新能CP001,A-1,短期信用评级,大公国际资信评估有限公司,20110616,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
48,041156001.IB,11大唐新能CP001,A-1,短期信用评级,大公国际资信评估有限公司,20120627,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
49,041156002.IB,11桂有色CP001,A-1,短期信用评级,大公国际资信评估有限公司,20110801,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
50,041156002.IB,11桂有色CP001,A-1,短期信用评级,大公国际资信评估有限公司,20120625,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
51,041156004.IB,11皖能源CP001,A-1,短期信用评级,大公国际资信评估有限公司,20110513,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
52,041156004.IB,11皖能源CP001,A-1,短期信用评级,大公国际资信评估有限公司,20120626,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
53,041156005.IB,11大唐托电CP001,A-1,短期信用评级,大公国际资信评估有限公司,20110506,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
54,041156005.IB,11大唐托电CP001,A-1,短期信用评级,大公国际资信评估有限公司,20120523,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
55,041158003.IB,11新乡化纤CP001,A-1,短期信用评级,大公国际资信评估有限公司,20110520,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
56,041158003.IB,11新乡化纤CP001,A-1,短期信用评级,大公国际资信评估有限公司,20120629,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
57,041158004.IB,11中铁股CP001,A-1,短期信用评级,大公国际资信评估有限公司,20110715,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
58,041158004.IB,11中铁股CP001,A-1,短期信用评级,大公国际资信评估有限公司,20120731,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
59,041158007.IB,11南京三桥CP001,A-1,短期信用评级,大公国际资信评估有限公司,20110519,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
60,041158007.IB,11南京三桥CP001,A-1,短期信用评级,大公国际资信评估有限公司,20120625,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
61,041158008.IB,11皖高速CP001,A-1,短期信用评级,大公国际资信评估有限公司,20111014,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
62,041158008.IB,11皖高速CP001,A-1,短期信用评级,大公国际资信评估有限公司,20120627,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
63,041158013.IB,11皖交投CP002,A-1,短期信用评级,大公国际资信评估有限公司,20110922,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
64,041158013.IB,11皖交投CP002,A-1,短期信用评级,大公国际资信评估有限公司,20120621,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
65,041158025.IB,11文传媒CP001,A-1,短期信用评级,大公国际资信评估有限公司,20111010,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
66,041158025.IB,11文传媒CP001,A-1,短期信用评级,大公国际资信评估有限公司,20120615,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
67,041159011.IB,11国新能源CP001,A-1,短期信用评级,大公国际资信评估有限公司,20110711,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
68,041159011.IB,11国新能源CP001,A-1,短期信用评级,大公国际资信评估有限公司,20120628,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
69,041159013.IB,11川升达CP001,A-1,短期信用评级,大公国际资信评估有限公司,20110516,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
70,041159013.IB,11川升达CP001,A-1,短期信用评级,大公国际资信评估有限公司,20120626,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。
71,011218005.IB,12铁物资SCP005,AAA,长期信用评级,大公国际资信评估有限公司,20121108,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 
