,债券唯一标识(年份-季度-证券代码),债券评级发布时间(中诚信国际信用评级有限责任公司),债券评级评级类型(中诚信国际信用评级有限责任公司),债券评级信用等级(中诚信国际信用评级有限责任公司),债券评级评估机构(中诚信国际信用评级有限责任公司),债券评级投资等级(中诚信国际信用评级有限责任公司),债券评级等级含义(中诚信国际信用评级有限责任公司),债券评级发布时间(联合资信评估有限公司),债券评级评级类型(联合资信评估有限公司),债券评级信用等级(联合资信评估有限公司),债券评级评估机构(联合资信评估有限公司),债券评级投资等级(联合资信评估有限公司),债券评级等级含义(联合资信评估有限公司),债券评级发布时间(大公国际资信评估有限公司),债券评级评级类型(大公国际资信评估有限公司),债券评级信用等级(大公国际资信评估有限公司),债券评级评估机构(大公国际资信评估有限公司),债券评级投资等级(大公国际资信评估有限公司),债券评级等级含义(大公国际资信评估有限公司),债券评级发布时间(上海新世纪资信评估投资服务有限公司),债券评级评级类型(上海新世纪资信评估投资服务有限公司),债券评级信用等级(上海新世纪资信评估投资服务有限公司),债券评级评估机构(上海新世纪资信评估投资服务有限公司),债券评级投资等级(上海新世纪资信评估投资服务有限公司),债券评级等级含义(上海新世纪资信评估投资服务有限公司),债券评级发布时间(东方金诚国际信用评估有限公司),债券评级评级类型(东方金诚国际信用评估有限公司),债券评级信用等级(东方金诚国际信用评估有限公司),债券评级评估机构(东方金诚国际信用评估有限公司),债券评级投资等级(东方金诚国际信用评估有限公司),债券评级等级含义(东方金诚国际信用评估有限公司)
24,2011-3-041158015.IB,20110923,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
25,2012-4-041158015.IB,20121115,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
26,2011-2-041158005.IB,20110516,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
27,2011-3-041154007.IB,,,,,,,,,,,,,20110824,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
28,2012-2-041159009.IB,20120615,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
29,2012-3-011219002.IB,,,,,,,,,,,,,20120711,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
30,2011-2-041158002.IB,,,,,,,,,,,,,,,,,,,20110610,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
31,2012-2-041158006.IB,,,,,,,,,,,,,,,,,,,20120629,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
32,2011-4-041158012.IB,,,,,,,,,,,,,,,,,,,20111010,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
33,2012-2-041152003.IB,20120530,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
34,2012-2-041158002.IB,,,,,,,,,,,,,,,,,,,20120619,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
35,2012-2-041154001.IB,,,,,,,,,,,,,,,,,,,20120606,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
36,2011-4-041152012.IB,,,,,,,,,,,,,20111108,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
37,2012-2-041156010.IB,20120629,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
38,2012-4-011218005.IB,,,,,,,,,,,,,20121108,长期信用评级,AAA,大公国际资信评估有限公司,投资级,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,,,,,,
39,2018-2-011762087.IB,,,,,,,,,,,,,20180413,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
40,2014-2-031490253.IB,20140630,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  ,,,,,,,,,,,,,,,,,,,,,,,,
41,2013-2-011319004.IB,,,,,,,,,,,,,20130520,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
42,2011-2-041152016.IB,,,,,,,,,,,,,,,,,,,20110610,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
43,2011-2-041154001.IB,,,,,,,,,,,,,,,,,,,20110401,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
44,2011-2-041158007.IB,,,,,,,,,,,,,20110519,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
45,2011-3-041151007.IB,20110804,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
46,2012-2-041158009.IB,20120618,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
47,2011-3-041158001.IB,20110705,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
48,2011-3-041154004.IB,,,,,,,,,,,,,,,,,,,20110825,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
49,2012-2-041154005.IB,,,,,,,,,,,,,20120630,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
50,2011-4-041154017.IB,,,,,,,20111123,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
51,2012-2-041156009.IB,20120525,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
52,2012-3-041152019.IB,,,,,,,20120831,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
53,2011-4-041154019.IB,,,,,,,,,,,,,20111118,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
54,2012-2-041153008.IB,,,,,,,,,,,,,20120627,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
55,2012-3-011216002.IB,20120918,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
56,2012-2-041158011.IB,20120507,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
57,2011-2-041152002.IB,20110517,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
58,2011-4-041158028.IB,,,,,,,20111122,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
59,2011-3-041156002.IB,,,,,,,,,,,,,20110801,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
60,2011-3-041152013.IB,,,,,,,20110926,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
61,2011-3-041158024.IB,,,,,,,,,,,,,,,,,,,20110831,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
62,2012-4-041158011.IB,20121011,短期信用评级,B,中诚信国际信用评级有限责任公司,投机级,还本付息能力较低，有一定的违约风险。,,,,,,,,,,,,,,,,,,,,,,,,
63,2017-2-011780001.IB,,,,,,,,,,,,,,,,,,,,,,,,,20170424,短期信用评级,A-1,东方金诚国际信用评估有限公司,投资级,还本付息能力最强，安全性高 
64,2012-3-041153010.IB,,,,,,,,,,,,,,,,,,,20120716,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
65,2011-3-041151005.IB,20110923,短期信用评级,A-1,中诚信国际信用评级有限责任公司,投资级,为最高短期信用等级，其还本付息能力很强，安全性很高,,,,,,,,,,,,,,,,,,,,,,,,
66,2011-3-041153008.IB,,,,,,,,,,,,,20110704,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
67,2011-3-041156008.IB,,,,,,,20110905,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
68,2017-4-011753022.IB,,,,,,,,,,,,,20171020,短期信用评级,A-1,大公国际资信评估有限公司,投资级,为最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,,,,,,,
69,2011-4-041159016.IB,,,,,,,20111014,短期信用评级,A-1,联合资信评估有限公司,投资级,A-1级短期债为最高级短期债，其还本付息能力最强，安全性最高。,,,,,,,,,,,,,,,,,,
70,2017-1-011698051.IB,,,,,,,,,,,,,,,,,,,20170106,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
71,2012-2-041158019.IB,,,,,,,,,,,,,,,,,,,20120626,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
72,2012-2-041158012.IB,,,,,,,,,,,,,,,,,,,20120428,短期信用评级,A-1,上海新世纪资信评估投资服务有限公司,投资级,最高级短期债券，其还本付息能力最强，安全性最高。,,,,,,
